lp,src,mt,ref,score,raw_score,annotators
kk-en,"Өз құқығын жақсы білген азамат ешқандай құқықбұзушылықтарға жол бермейді, - деді ҚР Жоғарғы сотының судьясы Бауыржан Жұмағұлов.","According to the magistrate of the Supreme Court of Kazakhstan Bauyrzhan Zhumagulov, a citizen with good knowledge of his or her rights will not be subjected to any infringement of rights.","A citizen aware of his rights will not let any violations, - judge of the Supreme Court of RoK Bauyrzhan Zhumagulov said.",-1.28144649982622,11.0,1
kk-en,"2018 жылғы III тоқсанда бір қызметкердің орташа айлық атаулы жалақысы 161,8 мың теңгені құрады.",Average monthly salary of one employee in Q3 2018 amounted to 161.8 thousand tenge.,Average monthly nominal salary of one employee in III quarter of 2018 reached 161.8 thousand tenge.,0.372220027004084,68.0,1
kk-en,"О.Мұхамеджанов көзі тірі­сінде ""Құрмет"", ""Парасат"", Дос­тық (РФ), ""Содружество"" (ТМД ПАА) ордендерімен ма­рапат­талған.","O. Mukhamedzhanov's source lived with the Orders of Kurmet, Parasat, Dossier (RF) and Commonwealth (Commonwealth PAA).","O.Mukhamedzhanov was awarded the Order of ""Kurmet"", ""Parasat"", Dostyk (RF), ""Sodruzhestvo"" (CIS IPA).",-1.28144649982622,11.0,1
kk-en,Бізге ІТ-таланттардың жаңа буынын қалыптастыру керек.,We need to build a new generation of IT talent.,We need to create a new generation of IT talents,1.12652405678633,94.0,1
kk-en,Өрттің шығу себептері анықталып жатыр.,The cause of the fire is being investigated.,The causes of fire are being determined.,0.923442202614186,87.0,1
kk-en,"Екінші жағдай бойынша, 1980 жылы туған әйел бізге өлім аузында түсті"", - деді Астана қаласының қоғамдық денсаулық сақтау басқармасы басшысының орынбасары Әлия Рүстемова қалалық әкімдікте өткен брифингте.","As for the second condition, in 1980, a woman born to us was pronounced dead,"" Aliya Rusudova, deputy head of the Public Health Administration of Astana, told a briefing by the Mayor’s Office.","As to the second situation, a woman, born in 1980 came to us in right before her death"", - said Deputy Director of the Public Health Department of the city of Astana, Aliya Rustemova, on a briefing held by the city akimat.",0.292610627490769,80.5,2
kk-en,"Жалпы алғанда, спектакль ""Астана Опера"" театрындағы түпнұсқа көрсетіліміндегідей ұсынылатын болады.","In general, the performance will be presented at the original stage of Astana Opera.","In general, the performance will be presented as the original performance in ""Astana Opera"" theatre.",0.827521359563814,99.0,1
kk-en,Сол оралған күннің ертесіне қайғылы жағдай болған.,It was a tragic accident.,"The day after she came back, the sad event took place.",-0.704925602591396,46.0,1
kk-en,"Жылдың басынан бері прокурорлар азаматтар мен заңды тұлғалардың 5 мыңнан астам арыздарын назарға алып, шешім табуына жәрдемдесіпті.","Since the beginning of the year, prosecutors have focused on more than 5,000 lawsuits filed by citizens and legal entities to help find a solution.","Since the beginning of the year, prosecutors took into consideration more than 5 thousand complaints from individuals and legal entities, helped in finding a solution.",1.21974967492984,96.0,1
kk-en,"Айта кетейік, бүгінгі жиында ҚР Президенті Шымкент қаласын дамытудың нақты бағыттарын айқындап берді.","At today's meeting, the President of Kazakhstan outlined specific directions for the development of Shymkent.",It's worth noting that at today's meeting the President of the RoK has defined specific directions of Shymkent city development.,0.560349689633052,72.5,2
kk-en,"Рональдиньо мен ағасы айыппұлды төлемегендіктен, сот олардың төлқұжаттарын алып, шоттарын тексеру шешімін қабылдады.","With Ronaldinho and the saver not paying the fine, the court decided to take their stand and check the accounts.","As Ronaldinho and his brother failed to pay the fine, the court took away their passports and decided to check their accounts.",-1.22143324936038,9.0,1
kk-en,Тампонажды цемент мұнай-газ және атом өнеркәсібінде кеңінен қолданылады.,Tamponage cement is widely used in the oil and gas and nuclear industries.,Oil-well cement is widely used at oil-and-gas and atomic industry.,-1.05307580630588,15.0,1
kk-en,"Әуе диспетчері жер сілкінісі кезінде өз өмірін қиып, лайнерді құтқарды.",An air traffic controller saved the linebacker from taking his own life in an earthquake.,An air dispatcher saved a jetliner getting bumped off.,1.3319879702995,100.0,1
kk-en,Президент ондай бастамаға қарсы болмады.,The president did not oppose the idea.,The President did not mind this initiative.,0.911094362663257,85.0,1
kk-en,"Сондықтан, көре жатармыз.","Therefore, it is necessary to see.","So, we will see.",0.0131879997059356,53.0,1
kk-en,"Мен де Абай, Мұқағали өлеңдерімен қоса, толғауларды көп оқимын.",I read many poems and memories of Abai and Mukagali.,"I also read songs of praise along with Abay's, Mukagali's poems.",-0.289808999713549,75.0,2
kk-en,"Ол әйелдің ағзасына бітіп кетіп, нәтижесінде ауруханаға өте ауыр жағдайда түсті"", - деді Астана қаласының қоғамдық денсаулық сақтау басқармасының штаттан тыс акушер-гинекологы Иван Коркан.","She left the woman's body and ended up in a very serious condition in hospital as a result,"" Ivan Corcan, an out-of-state obstetrician and gynecologist at the Public Health Office of Astana, told AFP.","It penetrated the woman's organism, as a result, she was brought to the hospital in very heavy condition"", - said a visiting obstetrician-gynecologist of the Public Health Department of the city of Astana, Ivan Korkan.",-0.00191950321788454,79.0,1
kk-en,"Жобаның құны 1,2 млрд долларды құрайды.",The cost of the project is US$1.2 billion.,The value of the project is 1.2 bln dollars.,1.07766610864086,94.0,1
kk-en,"Орал Байғонысұлының өзінің қызметін туған жері - Қостанай облысынан бастап, өмірінің соңына дейін елім деп, жерім деп еңбек етті.",Uralsk Baigozhin’s son worked in the Kostanai region.,"Oral Baigonyssuly's career started in Kostanay region, his birthplace, he dedicated his life to his country, his motherland.",0.321956180339738,83.5,2
kk-en,"Айта кетейік, акция 15 қыркүйекте басталған.",The campaign began on September 15.,"By the way, the action has been commenced on September, 15.",-0.181850438527675,76.5,2
kk-en,"Мұнай мен уран өндіру көлемінің жыл сайынғы төмендеуіне қарамастан, бұл жоспар биыл да орындалады"", - деді аймақ басшысы.","Despite the annual decline in oil and uranium production, the plan will be implemented this year, the region said.","Despite the annual reduction of the oil and uranium production volume, the plan will be fulfilled this year as well"", - the head of the region said.",-0.0738918773418008,78.0,1
kk-en,"NHL, NBA, NFL ойындарын үнемі көремін және теннис пен гольфты өткізіп алмауға тырысамын.","I always see NHL, NBA, NFL games and try not to hold tennis or golf.","I always watch the NHL, NBA, NFL games and try not to miss tennis and golf.",0.717804238021278,89.0,1
kk-en,"Жақындап қалған көліктің дауысын ажыратып, қауіптің келіп қалғандығын әуенді тоқта­ту­мен білдіреді.",The voice of a nearby car is unlocked and the alarm comes to a halt with music.,"It identifies the sound of an approaching vehicle, informs of the danger approached with the music stop.",-0.937560366828796,66.0,1
kk-en,"Жеңімпаз ақындарға бағалы сыйлықтар қарастырылған: 1 орын - 1 адам - 300 000 теңге, 2 орын - 2 адам - 200 000 теңге, 3 орын - 3 адам - 100 000 теңге, ""Ең үздік 4 жас ақындар"" 50 000 теңге.","The prizes for the winners include one place - 300,000 tenge, two places - 200,000 tenge, three places - 100,000 tenge and the best four young poets - 50,000 tenge.","Valuable prizes are considered for winners: 1st place - 1 person - 300,000 tenge, 2nd place - 2 people - 200,000 tenge, 3rd place - 3 people - 100,000 people, ""Best 4 young akyns"" - 50,000 tenge.",0.0760378151781869,72.0,1
kk-en,Алдағы жылдан бастап жұмысшылардың орташа жалақысын көтеруді 22 кәсіпорын жоспарлап отыр.,22 enterprises are planning to increase the average wage of employees in the upcoming year.,Starting from coming year 22 enterprises are planning to raise average salary of workers.,0.884029779120968,100.0,1
kk-en,"Қазір шәкірттері еңбектерін жинақтап, 10 том­дығын шығаруға ниеттеніп отыр, - дейді М.Байма­ханбетова.",The students are planning to publish 10 volumes of their works.,"Now his followers are going to form his writings and publish a 10-volume book, - M.Baimakhanbetova says.",-1.30909126586658,24.0,1
kk-en,Индонезия көліктегі қауіпсіздік ұлттық комитетінің жетекшісі Сурджанто Танджоно ұшақ бортында жарылыс болды деген болжамды терістеді.,"Surjanto Tanjono, head of Indonesia's National Committee on Transportation Security, said the plane was believed to have exploded on board.",The head of the National Transportation Safety Committee of Indonesia Surjanto Tanjono denied the suggestion that there had been an explosion on the board of the aircraft.,-1.91508523882367,3.0,1
kk-en,"Сөйтіп ол ай мен күннің аманында елорданың 7 тұрғынын алдап, 1,5 млн теңгені қалтасына басқан.",The city’s population totaled 1.5 million tenge.,"As a result, during months she deluded 7 capital residents and put 1.5 mln tenge in her pocket.",0.82631606741077,98.0,1
kk-en,Жекпе-жек Ресей астанасы Мәскеуде өтті.,The event was held in Moscow.,The combat was held in the Russian capital Moscow.,-0.595992916181434,60.0,1
kk-en,Бірінші - бұл Мемлекеттік бағдарламаны іске асыруға бөлінген қаражатты игеру мәселесі.,The first is the issue of obtaining funds for the implementation of the state program.,The first one is the issue of the application of funds allocated for the implementation of the State program.,0.214698153367347,80.0,1
kk-en,"Еске салайық, аталған оқиға 18 қыркүйекте болған еді.",The shooting occurred on September 18.,We should recall that the mentioned event occurred on September 18th.,-1.00133845095582,50.0,2
kk-en,"Мәжіліс Төрағасы өз­ сө­зін­де 2013 жылы өмір­­ден оз­ған мемлекет және қоғам қай­раткер О.Мұхамеджанов­пен танысқан сәтін қызметтес болған кез­де­рін еске алып, көрнекті тұл­ға­­ның кісілік, адамгершілік қа­сиеттеріне тоқталды.","The chairman of the Mazhilis recalled in his interview with the President of Kazakhstan, O.Mukhamedzhanov, who met with the President of Kazakhstan in 2013.","In his speech, the Chairman of the Mazhilis noted the momentous moment when he met the state and public figure O. Mukhamedzhanov who passed away in 2013 and emphasized the personality and human qualities of the prominent figure.",-0.960803897478386,51.0,1
kk-en,Колледж басшылары ел мен билікті алдап жүр.,College leaders are betraying the country and power.,College directors are lying to country and authorities.,1.02538922291613,100.0,1
kk-en,"Сонымен қатар, өңірлер бойынша ең жоғары жалақы Атырау облысының қызметкерлерінде (310,5 мың теңге), ал ең төмені - Түркістан ауданының қызметкерлерінде (98,8 мың теңге) тіркелген.","The highest salaries were recorded in the Atyrau region by region (310,500 tenge), and the most vulnerable - in Turkestan district (98,800 tenge).","Also, by regions the highest salary registered was that of employees from Atyrau region (310.5 thousand tenge), the lowest one was that of employees from Turkestan region (98.8 thousand tenge).",0.133629046412469,78.0,1
kk-en,"Ең бастысы, сауаттылық, дүниеге жаңа көзқарас, біз белгісіз, жас дарын иелеріне үлкен фестивальдер әлеміне жолдама беріп, жол ашқымыз келеді, - дейді Яго Матео Веласко.","Crucially, literacy, a new attitude to birth, we want to give unknown, young talents a chance to make their way into the world of big festivals, says Yago Mateo Velasco.","Foremost, we want to open the doors, clear the way to the world of large festivals for literacy, new vision for the world, young talented people who are unknown for us, - Yago Mateo Velasco says.",0.690381097636544,92.0,1
kk-en,"""Алматы ақшамы"" газеті 2006 жылдан бастап қазақтың белгілі сөз зергері, аудармашы, ғалым, ана тілімізге көптеген жаңа сөздер қосқан Ісләм Жарылғаповтың өмірі мен шығармашылық қызметі туралы тұрақты түрде жазып келеді.","""Almaty Map"" newspaper has been writing about the life and creative work of famous Kazakh speechwriter, translator, scientist and linguist since 2006.","Since 2006 ""Almaty akshamy"" newspaper was constantly writing about life and creative work of Kazakh famous wordsmith, translator, scientist Islam Zharylgapov, who added many new words to our mother tongue.",0.492090691422122,86.0,1
kk-en,"Қазақстан халқына арнаған Жолдауында Елбасы 2019 жылы жаңа ""Нұрлы жер"" бағдарламасын әзірлеу міндетін қойды.","In his state-of-the-nation address, Nursultan Nazarbayev set the task of developing the new ""Nurly Zher"" program in 2019.","In his Address to the Nation, the Head of the State set a task to develop the new ""Nurly Zher"" program in 2019.",0.62428429556507,90.0,1
kk-en,"Оның 35-і - шетелден, қалғаны - өз елімізден.","Of those, 35 are from abroad and the rest are from their country.","35 of them are from abroad, the rest ones are from our country.",0.55277224558211,76.5,2
kk-en,"Астана қалалық ішкі істер департаменті Ербол Салықовқа алғыс жариялады, - деді департаменттен.",Astana Department of Homeland Security announced its gratitude to Yerbola Tazhakov.,"The Department of Internal Affairs of the city of Astana expressed its appreciation to Yerbol Salykov, - said the Department.",-0.0423593677741835,59.5,2
kk-en,Ұятың жоқ сенің.,There is no crowd in the crowd.,Shame on you.,-0.760018077997949,39.0,2
kk-en,"Конференция барысында филиалдың соңғы екі жылда атқарған жұмыстары кеңінен талқыланып, бастауыш партия ұйымдарының белсенділігін арттыру, ішкіпартиялық тәртіпті нығайту, партия активінің жауапкершілігін арттыру міндеттері алға қойылды.","The conference included a wide discussion of the branch's work over the past two years, including its responsibilities to boost the activism of primary party organisations, strengthen party discipline and increase the accountability of the party's asset.","The conference discussed the work of the branch over the last two years, increasing the activity of the primary party organizations, strengthening of the internal order and the responsibility of the party's assets.",-0.0948709807173857,58.0,1
kk-en,Табиғат пайдаланушылармен 91 келісімнің шарттарын орындамау фактілері (аумақтың әлеуметтік дамуы) бойынша қадағалау актілерімен 60 млн. теңге мемлекет пайдасына өндірілді.,60 million tenge was allocated from the state for the implementation of 91 agreements with the natural users.,60 mln tenge were surcharged in a profit of state by the supervision acts on the facts of failure to fulfill the terms of 91 agreements (regional social development) made with natural resource users.,0.220198696941829,67.0,1
kk-en,"Бұл шара төртінші өнеркәсіптік революция жағдайында Қазақстан үшін өзекті болып саналады, - деді Елбасы.","According to Nursultan Nazarbayev, the event is relevant for Kazakhstan in the context of the fourth industrial revolution.","This event is considered to be actual for Kazakhstan in view of the fourth industrial revolution, - the Head of the State said.",0.27043068365282,75.0,2
kk-en,2 миллион айыппұл салынған Рональдиньоның шотынан 6 еуро ғана табылды.,The 2 million fines were found in just €6 from Ronaldinho's account.,Only 6 euro were found on Ronaldinho's account charged a fine of 2 million.,0.0389223402368156,67.0,1
kk-en,"Түрлі рейдтер мен қоғам­дық қа­былдаулар барысында анық­тал­ған кемшіліктерден нақты қо­­ры­­­тынды шығарылып, ха­лық та­­бы­­­сының өсуі, тұр­мыс сапасын арт­тыру жайлары­на ерекше мән беріл­ген.","In the wake of various raids and public controversies, the researchers have published a detailed report detailing the shortcomings of the Constitution, the growth of the state language and the quality of art.","Certain findings were concluded from the shortcoming defined during different raids and public receptions, conditions of growth of the population's income and the quality of life were drawn special attention.",-0.0189547456171852,65.0,2
kk-en,Қаламыздың ерекше мәртебесін өзіңіз арнайы жарлықпен 19 маусым күні бекіттіңіз.,You can confirm the special status of the city on June 19.,You approved the special status of our city by the special decree on June 19.,-0.395155803668192,52.0,1
kk-en,Бұл фестиваль - жыл сайын өткізіліп келе жатқан айтулы шара.,The festival is a landmark event held annually.,This festival is a famous event held annually.,0.993894256827832,100.0,1
kk-en,Ақтау халықаралық әуежайында Сыбайлас жемқорлыққа қарсы іс-қимыл ұлттық бюросының өкілдері Маңғыстау облысы әкімінің бірінші орынбасарын құрықтады.,"At the Aktau International Airport, representatives of the National Bureau of Anti-Corruption started recruiting the first deputy governor of Mangystau region.",Representatives of the National Bureau of Anti-Corruption apprehended the first Deputy Akim of Mangistau region in Aktau international airport.,-0.192586003179188,59.0,1
kk-en,Газет беттерінде шыққан біраз мақаласы да кітаптарына енбей қалды.,A number of articles were published in the newspaper.,A few articles published in newspapers have not been included in his books.,-1.1186193768432,27.0,1
kk-en,"ВКонтакте әлеуметтік желісіндегі ""Қазақстанның кәсіпқой боксы"" аккаунтында мәлім етілгендей, бокс кешінде кәсіпқой рингтегі өзінің үшінші айқасын 22 жастағы Илья Очкин (2-0) өткізеді.",The 22-year-old Ilya Ochkin (2-0) will play her third bout in boxing.,"As informed in the account of ""Kazakhstan professional boxing"" in Vkontakte social media, 22-year-old Ilya Ochkin (2-0) will conduct his third fight on the professional squared circle at the boxing evening.",-0.800295404646199,38.0,1
kk-en,"Astana Hub базасында менторлық институт құрылды, оның аясында сарапшылар стартап-командаларды бірге алып жүреді.","Based on Astana Hub, a mentoring institute has been created, where experts will bring together start-up teams.","Mentoring institute was formed on the basis of Astana Hub, where experts will lead startup teams within its framework.",0.84920154219283,95.0,1
kk-en,"Қазақстанның жағажай волейболшылары Тайландта өткен турнирде ""қола"" алды.",Kazakh beach volleyball players won bronze at the tournament in Thailand.,"Kazakhstan beach volleyball players took ""bronze"" at the tournament held in Thailand.",0.936017170973831,98.0,1
kk-en,Қостанай қаласының №2 сотының үкімімен полиция майоры Ерлан Елтүзеров кінәлі деп танылды.,Police Major Yerlan Yecorrectrov was found guilty at the trial of Kostanay city No 2.,Police major Yerlan Yeltuzerov was found to be guilty according to the verdict of the Kostanay court No.2.,0.314355721489443,75.0,1
kk-en,"Егер 2200 жыл деп айтсақ, солай атайық, содан бастайық.","If you say 2200 years, so call it, then start.","Let it be 2,200 years and let's start from it.",0.175940775628143,70.5,2
kk-en,"Жыл басынан бері 95,4 мың тонна мыс өндірген ұжым жыл соңына дейін бұл межені еркін орындайтындарына сенімді.","Since the beginning of the year, the team has produced 95,400 tonnes of copper.","Year to date, the team produced 95.4 thousand copper is sure to easily produce this limit till the end of the year.",0.375873475205577,77.0,1
kk-en,"""Астанаға тарту"" жас ақындар мүшәйрасы жарияланды.","""Attraction to Astana"" was declared by young poets of interest.","Young akyns' mushaira ""Gift for Astana"" has been announced.",-1.6849712742849,10.0,2
kk-en,"Бейінді министрліктердің және бірқатар әкімдердің баяндамаларын тыңдағаннан кейін, Б.Сағынтаев жалпы 9 айдың қорытындысы бойынша ""Нұрлы жер"" мемлекеттік бағдарламасының барлық негізгі бағыттары бойынша өсім байқалатынын атап өтті.","After listening to the reports of the ministries and a number of governors, B.Sagintayev noted that in the first 9 months of this year, the growth will be observed in all key areas of the ""Nurly Zher"" state program.","After listening to the reports of profile ministries and a number of akims, B.Sagintayev said that according to the results of 9 months growth was observed in all key areas of ""Nurly Zher"" state program.",0.806497751218513,91.0,1
kk-en,Семейде серозды менингит жұқтырған екі балабақша тәрбиеленушісі ауруханаға жатқызылды.,Two kindergarten educators were hospitalized in Semey after suffering from meningitis.,Two pupils of kindergarten infected with aseptic meningitis in Semey were admitted to hospital.,-1.56193576685264,14.0,1
kk-en,Бәрін жаман дей беруге де болмайды ғой.,It is important not to give anything bad.,We cannot say that everybody is bad.,0.314355721489443,75.0,1
kk-en,"Бергенді кім жек көрсін, кәдімгідей қуандым.",I was happy to see Bergeni.,"Nobody hates to get, I was really glad.",-2.29100879954963,2.5,2
kk-en,"Мәселен, ел азаматы 2017 жылы 28 мың сингапур долларынан (20,4 мың доллар) артық таппаса онда оның есепшотына 219 доллар түседі.","For example, if a citizen of Kazakhstan does not exceed 28,000 Singaporean dollars ($20,400) in 2017, he or she will receive $219.","For example, if a citizen doesn't earn more than 28 thousand Singapore dollars (20.4 thousand dollars) in 2017, 219 dollars will be deposited to his account.",0.546576612529988,96.0,1
kk-en,Ізін жасыру үшін ол қызды жіпке асып кеткен.,"To hide the search, she crossed the threshold.",He roped the girl in order to hide the traces.,0.576925119611054,97.0,1
kk-en,Тергеушілер мен анықтаушылардың 187 бөлмесі бейнебақылау камераларымен жабдықталған.,The 187 rooms of investigators and detectives are equipped with video surveillance cameras.,187 rooms of investigators and inquiry officers were equipped with CCTV cameras.,0.576925119611054,97.0,1
kk-en,"Өзім олармен жеке сөйлескенде көп ауданда әкім болған Сабыржан Ахметұлы деген кісі ""мен бұл хатқа қол қойған жоқпын"" деп бас тартып отыр.","In private conversations with them, Sabyrzhan, who was mayor of many districts, refused to say, ""I haven't signed this letter.""","When I talked to them in person, Sabyrzhan Akhmetuly who was akim in many districts refused it saying ""I have not signed this letter"".",0.394834077124661,91.0,1
kk-en,"Мысалы, ұсталынған тұлғалардың саны 60% (973-тен 387-ге дейін) және қамауда отырғандардың саны 57% (820-дан 355-ке дейін) азайған.","For example, the number of individuals arrested fell by 60% (from 973 to 387) and the number in custody fell by 57% (from 820 to 355).","For example, the number of caught people decreased by 60% (from 973 to 387) and the number of arrested people - by 57% (from 820 to 355).",-1.33644323810244,12.0,1
kk-en,"Екі әйелдің біреуі 31 қазанда үйінде, ал екіншісі 4 қарашада ауруханада көз жұмған.",One of the two women died at home on October 31 and the other in hospital on November 4.,One of the two women died at home on October 31 and the second one died in a hospital on November 4.,0.897732387904681,100.0,1
kk-en,Үндістанда ауаны жасанды жаңбыр технологиясымен тазарту ісі қолға алынады.,India is to start cleaning the air with artificial rain technology.,India set out to clear of the air with an artificial rain technology.,0.491518637721568,84.0,2
kk-en,"Елімізде тұңғыш рет ""RocketFest"" атты жастарға арналған кең ауқымды ойын-сауық-білім фестивалі өтуде.","For the first time, Kazakhstan is hosting a large-scale entertainment and educational festival dedicated to young people ‘RocketFest’.","A large-scale entertainment and educational ""RocketFest"" Festival is held for the first time in our country.",0.643848794040235,90.0,2
kk-en,"Жоғары оқу орындарында оқу бағдарламалары жаңартылды, - деді Қазақстан Президенті.",The curriculum of universities has been updated.,"The curriculum has been upgraded in universities, - the President of Kazakhstan said.",0.428047739255456,81.5,2
kk-en,Ал ендеше!,And here we are!,Well!,-0.371685581417549,50.0,1
kk-en,Былтыр Қазақстанның үшінші жаңғыруына қадам бастық.,"Last year, Kazakhstan’s third modernization program was launched.","Last year, we stepped in the third modernization of Kazakhstan.",0.796178950358903,96.0,1
kk-en,Ресейде қазақ топырағы сатылып жатыр.,Kazakh toys are sold in Russia.,Kazakh soil is being sold in Russia.,-1.64110355073978,0.0,1
kk-en,"Атап айтқанда, Астана, Ақтөбе, Алматы, Қарағанды, Тараз, Теміртау, Өскемен, Шымкент қалаларында атмосфералық ауа сапасының ластануы күтілмейді.","Atmospheric air pollution is not expected in Astana, Aktobe, Almaty, Karaganda, Taraz, Temirtau, Ust-Kamenogorsk and Shymkent.","In particular, air pollution in Astana, Aktobe, Almaty, Karaganda, Taraz, Temirtau, Oskemen, Shymkent is not expected.",1.0875893702717,99.0,1
kk-en,"Облыстық мәдениет, архивтер және құжаттама басқармасының басшысы Саламат Сабырдың айтуынша, мемлекет басшысының ""Болашаққа бағдар: рухани жаңғыру"" бағдарламалық мақаласы аясында аймақта 193 іс-шара іске асқан.","According to Salamat Sabir, head of the regional culture, archives and documentation department, 193 events have been launched in the region as part of the program ‘Future Course: Modernization of Public Consciousness’.","According to the head of the regional Department of culture, archives and documentation Salamat Sabyr, 193 events were implemented within the program article ""The Course towards the Future: Modernization of Public Conscience"" of the Head of the State.",-0.706619104193574,39.0,1
kk-en,"""Элеватор Агрофуд"" жауап­кершілігі шектеулі серік­тестігі қатты бидайды сапа­лы сақтауды, өңдеуді одан әрі дамытуға бет алған.",Elevator Agrofood's response to the limited satellites is to maintain solid wheat quality and further develop processing.,"""Elevator Agrofood"" Limited Liability Partnership has taken a ply towards further development of high-quality storage and processing of durum wheat.",0.938071997399594,94.0,2
